52675451,20150301000051,20150301000030,63412160,
38450077,20150301000137,20150301000211,20401121,
47530123,20150301000300,20150301000619,54743850,
12407830,20150301000620,20150301000636,48871620,
66243408,20150301000722,20150301000727,85405546,
56706311,20150301000911,20150301001355,28231451,
58350544,20150301001426,20150301001447,24057345,
23325103,20150301001945,20150301002102,26612038,
16645633,20150301002114,20150301002139,71534643,
23636365,20150301002150,20150301002206,48040340,
46145365,20150301002314,20150301002409,98511483,
74308246,20150301002459,20150301002636,62862447,
75704316,20150301002653,20150301002733,50323355,
20401121,20150301002741,20150301002756,20636524,
35040864,20150301002803,20150301002839,92233027,
73186617,20150301002843,20150301003105,92785317,
11530583,20150301003145,20150301003237,88821755,
93288554,20150301003240,20150301003507,66657323,
37138100,20150301003550,20150301003747,31802364,
42242648,20150301003928,20150301004015,35040864,
52884881,20150301004219,20150301004239,73042081,
48407727,20150301004717,20150301004832,62862447,
56122652,20150301004903,20150301004911,56706311,
43201773,20150301004922,20150301004936,16883726,
47186785,20150301005015,20150301005058,91536273,
52675451,20150301005106,20150301005303,40056873,
87523811,20150301005525,20150301005556,54153024,
23288056,20150301005616,20150301005648,93758456,
22537870,20150301005707,20150301005834,76841824,
37670060,20150301005901,20150301010155,51564471,
50838723,20150301010313,20150301010428,71150763,
60724640,20150301010440,20150301010515,42531622,
43183578,20150301010551,20150301010658,68766034,
70557403,20150301010742,20150301010923,20856741,
34886123,20150301010929,20150301010936,66110168,
66300117,20150301011024,20150301011034,50038743,
60452682,20150301011116,20150301011128,12523272,
41350320,20150301011326,20150301011436,86844417,
44336513,20150301011533,20150301011711,88543254,
52038233,20150301011731,20150301011747,32701315,
88006031,20150301011759,20150301011927,87824221,
15731301,20150301011946,20150301012000,90357638,
30526020,20150301012048,20150301012209,71607170,
88543254,20150301012327,20150301012455,52461032,
42054833,20150301012612,20150301012649,71150763,
60022500,20150301012704,20150301012721,20660365,
46131537,20150301012740,20150301012828,34886123,
51564471,20150301012831,20150301013148,42115787,
24057345,20150301013455,20150301013745,10584673,
24057345,20150301013943,20150301014033,83188604,
